"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","8962","✅ Google logosu görünüyor mu?","ipad mini","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","10577","✅ Arama yapılabiliyor mu?","galaxy s8","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","7222","✅ Google arama kutusu görünüyor mu?","chromium","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","28874","❌ Yanlış title kontrolü — FAIL görmek için","firefox","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","7252","❌ Var olmayan element — FAIL görmek için","iphone 13","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","5017","❌ Olmayan butona tıklama — FAIL görmek için","iphone 13","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","5861","❌ Var olmayan element — FAIL görmek için","ipad mini","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","1734","✅ Sayfa başlığı boş değil mi?","iphone 13","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","2484","✅ Google ana sayfa aciliyor mu?","ipad mini","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","16381","✅ Arama yapılabiliyor mu?","batch366","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","4","❌ Yanlış title kontrolü — FAIL görmek için","webkit","2026-03-24","skipped","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","2982","✅ Google logosu görünüyor mu?","batch366","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","1517","✅ Sayfa başlığı boş değil mi?","galaxy s8","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","3805","✅ Sayfa URL'si doğru mu?","iphone 13","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","5958","✅ Google arama kutusu görünüyor mu?","galaxy s8","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","7066","❌ Var olmayan element — FAIL görmek için","batch366","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","37363","✅ Arama yapılabiliyor mu?","firefox","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","10388","✅ Google arama kutusu görünüyor mu?","iphone 13","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","1856","✅ Sayfa 3 saniyede yükleniyor mu?","galaxy s8","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","2659","✅ Google ana sayfa aciliyor mu?","batch366","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","3450","✅ Sayfa URL'si doğru mu?","batch366","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","11577","❌ Yanlış title kontrolü — FAIL görmek için","chromium","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","6058","✅ Google ana sayfa aciliyor mu?","galaxy s8","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","6115","✅ Sayfa URL'si doğru mu?","galaxy s8","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","10291","❌ Yanlış title kontrolü — FAIL görmek için","iphone 13","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","8359","✅ Google logosu görünüyor mu?","iphone 13","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
